language=简体中文
locales=zh-hans
fallback=English
disableHyphenationCheck=true

# 1) To get started, navigate to the game's directory. There should be a folder StreamingAssets/Mods/kubi.example.localization.
# 2) Make a copy of this folder and give it a new name, e.g. "yourname.language.localization".
# 3) Open the ModInfo.xml in the folder, enter the mod name and description and your name (if you like).
# 4) When starting the game, the new language should be available in the settings. 
# 5) Whenever you start the game with a new translation file, it will automatically create a list of the missing translation lines. This is both useful to get started and to keep the translation up-to-date when new strings get added. The file can be found in C:\Users\<username>\AppData\LocalLow\MirkoStudio\Kubifaktorium\Missing_<language>.txt on Windows or ~/.config/unity3d/MirkoStudio/Kubifaktorium/ on Linux.

# The general format of the localization file for each line is <key>=<value>, for example "UI.BuildTrain=Build train". The <key> must not be changed, the <value> is to be translated, so e.g. "UI.BuildTrain=Baue Zug".
# A line starting with "#" is ignored and can be used for comments.
# The line "fallback=English" specifies which language to use when a certain string cannot be found. Usually English is a good choice as it is usually the most up-to-date but other languages can be chosen if they are closer to the target language.
# The game supports hyphenation for languages with long strings like German. To use it, use the "_" character to insert a soft hyphen at the spots where a word can be hyphenated. I recommend this for words longer than 12-15 characters. For example: "Recommen_dations" or "trans_portation".
# A string in the format "#<id>#" causes an icon to be inserted, e.g. "#sun#". Note that the id must not be translated, otherwise it will not be found and translated correctly.
# A string in the format "##<id>" creates a keyword. Keywords like "##daytime" will be translated to an underlined word "daytime". In addition, an explanation will be added underneath, usually in the tooltips. Again, the id must not be translated. However, the explanation text (the lines with keys like ##idle), should.
# Strings like "$1", "$2" etc are placeholders for numbers and other things which will be filled by the game. For example "Growth rate at daytime: $1%" will become "Growth rate at daytime: 75%" at runtime.
# If required for some reason, you can use <br> to create a line break. However I recommend not using it.

### Thank you for your help!! :)


##Automated = #Power#自动化
##Automated.Desc = #Power#自动化：自动化建筑无需你的殖民者操作也可工作，但需要电力来运转。
##automatically = #Power#自动化的
##automatically.Desc = #Power#自动化：自动化建筑在不需要居民操作的情况下也能工作，但需要电力才能运转。
##cargoship = #Refine#货船
"##cargoship.Desc =  #Refine# 货船：出口多余的货物并进口需要的资源。如要出口货物，把存储区连接至货船港口
如要进口货物，把货船港口连接至库存并设置一些允许被进口的货物。"
##carriage = 马车
##carriage.Desc = 马车会自动在相连的驿站之间运输货物，选择一个车站并用鼠标右键点击另一个车站来连接他们。
##day = #sun#白天
##day.Desc = #sun#白天： 6:00 至 18:00 的时间段。
##decoration = #House#装饰品
##decoration.Desc = #House#装饰品：放置装饰品会让你的殖民者更加开心和更加效率。
##depot = 仓库
##depot.Desc = 仓库：用来储存并分配货物，用机械臂来提取或放入货物。
##drink = 饮品
##drink.Desc = 饮品：当口渴时，殖民者会自动找一些东西来喝，提供饮品会让他们更加开心和更加效率。
##farmzone = #Farm#农场
##farmzone.Desc = #Farm#农场区：可以分配在肥沃的土地上，让殖民者种植一些农作物。
##food = 食物
##food.Desc = 食物：当殖民者饥饿时会自动寻找食物进食。提供他们食物将会更加开心和更加效率。
##grovezone = #Grove# 林场
##grovezone.Desc = #Grove#林场：可以分配在肥沃的土壤上，让你的殖民者种植树木。
##happiness = #Happy#幸福
##happiness.Desc = #Happy#幸福：一个殖民者是否幸福影响着他或她的行走速度和工作效率。
##house = 房屋
##house.Desc = 房屋：殖民者和动物们拥有房屋后，他们会更幸福和更有效率。
##idle = #Idle# 空闲
##idle.Desc = #Idle# 空闲：你可以在殖民者管理界面来管理殖民者的工作。
##keycycle = #controller# 高低
##keycycle.Desc = #controller# 高低：鼠标的中键 或 'V'键。
##keyrotate = #controller# 旋转
##keyrotate.Desc = #controller# 旋转：鼠标的4和5键 或 'R'键。
##logsys = #Logistics# 物流系统
##logsys.Desc = #Logistics# 物流系统：当火车和仓库完成运输连接。设置好物流系统后，火车会自动完成运输工作。
##mine = #Mine# 开采
##mine.Desc = #Mine# 开采：要选择一项要开采的资源，你只需要点击开采按钮然后选中需要开采的资源。拖动鼠标框选一片区域，区域内的所有资源都会被开采。
##pasturezone = #Pasture#牧场
##pasturezone.Desc = #Pasture# 牧场区：可在肥沃土地上分配一片牧场区以聚集并驯养中立动物。
##power = #Power#发电
##power.Desc = #Power#发电：用发电机生产电力。
##productiontarget = 库存目标
##productiontarget.Desc = 库存目标：用岛上生产的产品完成库存目标。
##robot = 机器人
##robot.Desc = 机器人：可以完成简单的任务. 不会提升##技能 , 需要油才能行动,可以设定为多种行动模式。
##ship = #Compass# 船
##ship.Desc = #Compass# 船：将你带到这座岛上的船可以在岛屿之间运送物品。
##skill = #People# 技能
##skill.Desc = #People# 技能：每个殖民者精通的技能都有所不同，且每种技能熟练度也有高低之分，通过工作来提高技能,熟练度越高，效率越快。
##social = #Chat# 社交
##stacksize = 堆叠量
##stacksize.Desc = 堆叠：在库存和仓库中，可以在单个图块上堆叠多个相同类型的项目。
##stockpilezone = #Stockpile#存储区
##stockpilezone.Desc = #Stockpile#存储区：在踏实的地面（除自然沙地和海域）上划分区域，以便于存放工坊，农场或采矿作业的产品。
##territory = #Mountain# 领地
##territory.Desc = #Mountain# 领地：你只能在自己的领地之内建设。若要扩张领地，可以建设篝火堆,或者摧毁敌方营地。
##tool = #settings# 工具
##tool.Desc = #settings# 工具：增加居民完成任务的几率。居民会自动装备与任务相符品质最佳的工具。
##water = 水
##water.Desc = 水：农场的农作物需要浇水才能生长。
##weight = 重量
##weight.Desc = 重量：你的殖民者负重时会影响速度。
##zone = #star#区域
Modifier.ShippingPort.Intro = 本教程介绍如何使用货船港口 进口和出口 交易货物。 我们所需的一切都已经建成，我们只需要正确设置它。
Modifier.ShippingPort.Outro = 太好了！ 可以出口交易 像面包等用可再生资源生产制作的物品，以赚取货币。 进口交易 像铜矿等商品，这是你无法在这个岛上得获取的。
Modifier.SpawnSettlers = 生成殖民者
Modifier.SpawnStrandedColonists = 两名落难者想加入我们的殖民地。
Modifier.SpawnStrandedColonists.Intro = 我们听闻有些友好的落难者被困在了这座小岛的另一边。如果我们找到他们他们或许会想加入我们。
Modifier.SpawnStrandedColonists.Short = 招募受困的落难者
Modifier.StrandedGoods = 漂流的物资
Modifier.TerrainDark = 三级：暗黑世界（选择三阶物资）
Modifier.TerrainDesert = 二级：沙漠世界（选择二阶物资）
Modifier.TerrainGrassland = 一级：草原世界
Modifier.Tutorial1 = 建立一座基础殖民地。
Modifier.TutorialAdvancedProduction = 学习进阶的生产和管理技术。
Modifier.TutorialAdvancedProduction.Intro = 本教程展示如何设置工坊来生产多种物资以及管理库存。
Modifier.TutorialAdvancedProduction.Outro = 如何设置工坊来生产多种物资以及管理库存。
Modifier.TutorialAutomatedTrains = 学习搭建一条全自动化的火车线路。
Modifier.TutorialAutomatedTrains.Intro = 本教程展示如何将自动化生产建筑整合到物流系统中。
Modifier.TutorialCarriages = 学习安排一辆马车。
Modifier.TutorialCarriages.Intro = 本教程展示如何安排马车来运输石头。石头相当沉重，所以运送起来会很慢。使用马匹来进行长距离运输将会事半功倍。
Modifier.TutorialCarriages.Outro = 干得漂亮！建造的每一个驿站都会免费附赠一辆马车。查看下一项教程以了解如何通过连接车站和物资来更好地调控运输的货物。
Modifier.TutorialCombat = 了解战斗系统。
Modifier.TutorialCombat.Intro = 本教程展示如何攻陷敌方营地。
Modifier.TutorialConveyorBelts = 学习如何设置传送带。
Modifier.TutorialConveyorBelts.Intro = 本教程举了几个有用的传送带设置的例子。
Modifier.TutorialFreePlay = 学习使用作弊功能。
Modifier.TutorialLogistics = 学习设置区域和物流系统。
Modifier.TutorialLogistics.Intro = 本教程包含了搭建前哨和物流系统相关的内容。我们所需的一切都已经建造好了，我们只需要正确地设置它们。
Modifier.TutorialLogistics.Outro = 漂亮！殖民者和齐伯林飞艇会合作运输我们的金锭和水桶。物流系统允许你利用多种运输系统来创建复杂的运输链。货物将被自动运送，直到接收的储物区被装满为止。
Modifier.TutorialNeedsTools = 了解需求和工具。
Modifier.TutorialOreCrushing = 自动粉碎矿石
Modifier.TutorialOreCrushing.Intro = 该尚未进行交互的样本场景展示了要如何建立自动化矿石处理系统。点击下面的目标以继续。
Modifier.TutorialTrainCrossing = 学习建立一座立交桥。
Modifier.TutorialTrainCrossing.Intro = 该高级教程展示了立交桥可以被建立成什么样子。
Modifier.TutorialTrainPreSignals = 学习设置火车信号。
Modifier.TutorialTrainPreSignals.Intro = 本教程展示了如何利用火车信号让多辆火车行驶在同一个运输网络里。
Modifier.TutorialTrains = 学习设置火车路线。
Modifier.TutorialTrains.Intro = 本教程展示了如何通过物流系统连接两座火车站。
Modifier.TutorialTrainSignalsCircle = 火车循环路线网示例
Modifier.TutorialTrainSignalsCircle.Intro = 本教程展示了如何利用信号灯将多辆火车在单一路线并行。
Modifier.WavesSlimes = 袭击：史莱姆
Name.FarmZoneCC = 农场
Name.GroveZoneCC = 林场
Name.PastureZoneCC = 牧场
Name.StockpileZoneCC = 存储区
Need.Drink = 饮品
Need.Drink.Desc = 口渴时，殖民者会自动寻找 ##drink 。
Need.Food = 食物
Need.Food.Desc = 饥饿时，殖民者会自动寻找 ##food 。
Need.Happiness = ##幸福
Need.Health = 生命
Need.Health.Desc = 受伤的殖民者会不开心并且生产效率低下。他们睡觉时会恢复。
Need.Housing = 住房
Need.Housing.Desc = 殖民者们更希望有 ##house 可以居住。为他们提供一处住所能让他们感到更幸福，工作也更高效。
Need.Sleep = 睡觉
Need.Sleep.Desc = 累的时候，殖民者们会自动返回他们的房屋睡觉。
Need.Social = 社交
Need.Social.Desc = 殖民者们需要相互间进行 ##social 互动交流 殖民地才能欣欣向荣。让他们社交互动可以使他们更加幸福，工作更高效。
Need.SpeedFactor = 速度
Need.Sum = 合计
Objective.ActivateDebugMode = 启动调试模式。
Objective.ActivateDebugMode.Desc = 打开设置菜单，并启用调试/作弊模式。
Objective.AnyStockpileAcceptsType = 设置存储区接收 $1
Objective.AnyStockpileAcceptsType.Desc = 要更改一个 ##stockpilezone 接收货物的种类，你只需要选中它并点击信息面板中的相应货物图标。
Objective.AttackEnemyCamp = 进攻敌方营地
Objective.AttackEnemyCamp.Desc = 要进攻一个敌人营地，你只需要选中它或者它周围的区域并点击攻击指令。（你的殖民者不会战死。）
Objective.BuildTrain = 制造火车（$2/$3）
Objective.BuildTrain.Desc = 要制造火车，先点击火车工厂并在信息面板中选择“制造火车”。
Objective.CarriageSchedule = 添加 $5号站点到马车的行程表中
Objective.CarriageSchedule.Desc = 您可以先点击马车，接着右键点击车站将该车站加入马车的行程表。再次点击会将该车站移出马车行程表。
Objective.ClickHelp = 点击该文本。（点我！）
Objective.ClickHelp.Desc = 你可以点击绝大多数的UI文本，镜头就会移动到需要交互的目标处。
Objective.Construct = 建造：$1（$2/$3）
Objective.Construct.Desc = 建造 $1，打开#Build#菜单，切换到 $7选项，点击 $1并将它放置在地图上。
Objective.CreateStockpile = 创建存储区（$2/$3）
Objective.CreateStockpile.Desc = 创建一片新的##stockpilezone ，点击左下方的存储区图标，接着在地面上拖动出一片区域。
Objective.DefeatEnemyCamp = 击败敌方阵营
Objective.DefeatEnemyCamp.Desc = 进攻敌人的营地，选中敌方营地并点击进攻。（你的殖民者们不会在战斗中死亡。）
Objective.FarmZone = 创建农场 （$2/$3）
Objective.FarmZone.Desc = 创建一座农场，点击左下角的农村图标并在地图里的可耕种区域划出范围。至少划出 $3块地作为农场。
Objective.FarmZoneCrop = 选择农作物：$1
Objective.FarmZoneCrop.Desc = 要开始种植作物，选择 ##farmzone 并选择你要种植的农作物。
Objective.FulfillProductionTarget = 实现库存目标
Objective.FulfillProductionTarget.Desc = 左上角显示了##productiontarget ，生产这些产品直到你达到该产品需求量。殖民地和船上储存的产品都属于你。
Objective.Have = 开采或生产： $1（$2/$3）
Objective.Have.Desc = 资源能够从环境中##mine 。产品由工坊生产。
Objective.HopperAcceptsType = 设置 $5号仓库或存储区 进口/出口 接收$1。
Objective.HopperAcceptsType.Desc = 要更改一个仓库进口/出口接收物资的种类，你只需要选中它并点击信息面板中的相应货物图标。
Objective.LinkFarmToStockpile = 连接农场和存储区（$2/$3）
Objective.LinkFarmToStockpile.Desc = 将##farmzone 与##stockpilezone 连接，左键点击农场，然后右键点击存储区。在连接的存储区存满之前，从农场收割的作物都会存放在这里。
Objective.LinkStockpile = 连接 $1 到存储区 ($2/$3)
Objective.LinkStockpile.Desc = 将 $1与##stockpilezone 连接，左键点击 $1，然后右键点击存储区。在连接的存储区存满之前，从工坊生产的产品都会存放在这里。
Objective.LogisticsLink = 创建从 $5号$7 到 $6号$8 的连接。
Objective.LogisticsLink.Desc = 要在两个目标之间创建一个物流链，你只需要选中第一个目标然后右键第二个目标。无论你选中那一个 ##logsys 目标，与其相关的物流链都会用蓝色箭头显示出来。
Objective.MiningJob = 分配开采任务（$2/$3）
Objective.MiningJob.Desc = 要 ##mine 一项资源，你只需要点击 开采图标 并选择要开采的东西。在选择时按住左键可以拖出一块区域以开采区域内所有资源。注意你的殖民者只能开采你 ##territory 范围内的资源。
Objective.ProductionTask = 设置生产：$1
Objective.ProductionTask.Desc = 要生产一项物品，选中一个工坊并点击你想要生产的物品。
Objective.Recruit = 招募他们。
Objective.Recruit.Desc = 招募一个落难者或驯服一只动物他们就会加入你的殖民地。注意：动物只能完成有限种类的工作。一旦成为你殖民地的一员，他们就会开始消耗你的物资。
Objective.RecruitDemands = 扩张你的领地到他们所在的区域。
Objective.RecruitDemands.Desc = 扩张你的领地直到覆盖到他们旗子所在位置，这样就招募到他们啦。
Objective.RotateCamera = 按 Q/E 或 PgUp/PgDown 旋转镜头。
Objective.RotateCamera.Desc = 按 Q键 和 E键 来旋转镜头。你也可以使用 Page Up/Down键完成同样的操作。
Objective.ScrollCamera = 按 WASD/方向键 移动镜头
Objective.ScrollCamera.Desc = 按 WASD 键或方向键移动镜头
Objective.SetActorTaskGroup = 指派 $5 到 $1 工作。
Objective.SetActorTaskGroup.Desc = 要派 $5 到 $1 工作，你只需要选中 $5 然后点击 $1 图标。或者，你也可以在殖民者管理窗口分配殖民者的工作。
Objective.SetClaimColor = 将 $5号营火区域颜色设置为 $3号颜色。
Objective.SetClaimColor.Desc = 要更改区域颜色，选择营火并点击信息面板上你想要的颜色。
Objective.SettlersEquipTool = 装备工具（$2/$3）
Objective.SettlersEquipTool.Desc = 殖民者们会自动装备所需要的 ##tool 。生产他们所需的工具让他们工作更高效。
Objective.SettlerTaskGroup = 分配工作：$4（$2/$3）
Objective.SettlerTaskGroup.Desc = 要让一个殖民者负责 $4 ，你只需要选中他/她然后点击 $4 图标。或者，你也可以在殖民者管理窗口分配殖民者的工作。
Objective.SettlerWorkshop = 指派工作：$1 ($2/$3)
Objective.SettlerWorkshop.Desc = 要让一个殖民者在 $1 区域工作，你只需要选中他/她然后点击殖民者面板中的 $1 图标。或者，你也可以在殖民者管理窗口分配殖民者的工作。
Objective.SetWorkshopInput = 把 $6号$8 连接到 $5号$7
Objective.SetWorkshopInput.Desc = 要连接到 ##stockpilezone 的输入口，先左键点击 $6号存储区 然后右键点击$5号$8。
Objective.SetWorkshopOutput = 把 $5号$7 连接到 $6号$8
Objective.SetWorkshopOutput.Desc = 要连接到 ##stockpilezone 的输出口，先左键点击 $5号$8 然后右键点击$6号存储区
Objective.SetZoneColorActive = 授予 殖民者$5 进入 $3号颜色区域的权限。
Objective.SetZoneColorActive.Desc = 要授予殖民者进入某一区域的权限，你只需要选中殖民者然后点击信息面板中对应区域的颜色图标即可。
Objective.SetZoneColorInactive = 移除 殖民者$5 进入 $3号颜色区域的权限。
Objective.SetZoneColorInactive.Desc = 要移除殖民者进入某一区域的权限，你只需要选中殖民者然后点击信息面板中对应区域的颜色图标即可。
Objective.ShowHelpTooltip = 移动你的鼠标到一个目标上，显示更多的帮助信息。
Objective.ShowHelpTooltip.Desc = 干得漂亮。当你鼠标悬停在目标或者其他的UI界面元素时会显示更多信息。
Objective.StationAcceptsType = 设置 $5号车站 出口/进口 接收 $1。
Objective.StationAcceptsType.Desc = 要更改车站出口/入口接收的物品类型，你只需要选中它然后点击信息列表中的相应物品即可。
Objective.StockpileAcceptsOnlyType = 设置 $5号存储区 只接收 $1。
Objective.StockpileAcceptsOnlyType.Desc = 要改变 ##stockpilezone 接收的物品，你只需要选中它然后点击信息面板上的相应物品即可。
Objective.StockpileAcceptsType = 设置 $5号存储区 接收 $1.
Objective.StockpileAcceptsType.Desc = 要改变 ##stockpilezone 接收的物品，你只需要选中它然后点击信息面板上的相应物品即可。
Objective.TrainSchedule = 将 $5号火车站添加到行程表
Objective.TrainSchedule.Desc = 要将火车站添加到火车的行程表中，请选择火车后右击你要添加的火车站。再次点击删除该站点。
Objective.UnloadAll = 卸载你船上的物资 (剩余 $1)
Objective.UnloadAll.Desc = 点击你的 ##ship 查看船上都有些什么物资。点击一项物资以命令你的殖民者们卸下它。点击时按住 Shift 或 Ctrl 键可以一次性卸下多种物资。或者你也可以点击顶部右侧的图标一次性卸下所有物资。
Objective.UseDebugRemove = 移除物件
Objective.UseDebugRemove.Desc = 按住 Alt 键使用标准移除工具，你可以用它移除游戏中的任何东西，无论是建筑还是物品。[需要开启调试模式]
Objective.UseDebugSpawn = 生成物件
Objective.UseDebugSpawn.Desc = 你可以使用作弊菜单生成任何东西，无论是建筑还是物品。按 F8 打开作弊菜单。[需要开启调试模式]
Objective.UseRevealMap = 全开地图
Objective.UseRevealMap.Desc = 你可以按F7消除战争迷雾全开地图。[需要开启调试模式]
Objective.ZoomCamera = 使用鼠标滚轮进行缩放。
Objective.ZoomCamera.Desc = 移动鼠标滚轮使镜头放大或缩小。
ObjectiveGroup.Camera = 镜头
ObjectiveGroup.Controls = 基本快捷键
ObjectiveGroup.Debug = 调试模式介绍。
ObjectiveGroup.Expand = 扩张你的领地。
ObjectiveGroup.Help = 帮助系统
ObjectiveGroup.LoadShip = 达到生产目标
ObjectiveGroup.MineResources = 矿物资源
ObjectiveGroup.Recruit = 招募
ObjectiveGroup.RescueSettlers = 招募殖民者
ObjectiveGroup.SetupFarm = 建造一个农场
ObjectiveGroup.SetupWell = 建造一口水井
ObjectiveGroup.UnloadShip = 卸货
ObjectType.AutoKiln = 自动窑炉
ObjectType.AutoKiln.Desc = ##Automated窑炉 被用来生产砖和木炭。
ObjectType.AutoSmelter = 自动化冶炼厂
ObjectType.AutoSmelter.Desc = ##Automated冶炼厂 将碎矿冶炼成金属块。
ObjectType.BackerRaft = 热心木筏
ObjectType.BackerRaft.Desc = 来自其他玩家的馈赠。
ObjectType.Bakery = 面包烘坊
ObjectType.Bakery.Desc = 用于生产面包和其他类型的食物。
ObjectType.Barn = 简易畜棚
ObjectType.Barn.Desc = 给动物休息的地方。
ObjectType.BasicWorkplace = 基础工坊
ObjectType.BasicWorkplace.Desc = 基础工坊可以用来制作木板和石块。
ObjectType.BeachChair = 沙滩椅
ObjectType.BeachChair.Desc = 疲惫不堪时，殖民者可以坐在沙滩椅上放松身心。
ObjectType.BeachRock = 海滩岩石
ObjectType.BeachRock.Desc = 可以通过开采移除。
ObjectType.Beer = 啤酒
ObjectType.Beer.Desc = 啤酒让你的殖民者保持兴奋。
ObjectType.Betanium = β方块
ObjectType.Betanium.Desc = β方块是一种用来制造尚处于早期开发/实验阶段的物品的材料。
ObjectType.Boat = 船
ObjectType.Boat.Desc = 用来横渡大海的船
ObjectType.Bonfire = 营火
ObjectType.Bonfire.Desc = 建造营火来扩张你的 ##territory 和确定你的 ##zone 
ObjectType.Bread = 面包
ObjectType.Bread.Desc = 丰富的营养来源。
ObjectType.Brewery = 酿酒厂
ObjectType.Brewery.Desc = 生产啤酒、花茶等饮料。
ObjectType.Brick = 砖头
ObjectType.Brick.Desc = 用于建造更先进的建筑。
ObjectType.Bush = 灌木
ObjectType.Bush.Desc = 普通的灌木。
ObjectType.BushBerries = 草莓
ObjectType.BushBerries.Desc = 草莓是一种生长迅速容易获取的食物来源.。生长在草原上。
ObjectType.CacaoTree = 可可树
ObjectType.CacaoTree.Desc = 砍伐可可树可得到可可豆和原木。
ObjectType.Cactus = 仙人掌
ObjectType.Cactus.Desc = 能在沙漠的恶劣气候中生存下来。
ObjectType.CargoShip = 货船
ObjectType.CargoShip.Desc = 货船带来了你以前的殖民地的部分货品。
ObjectType.Centrifuge = 分离机
ObjectType.Centrifuge.Desc = 使用分离机 ##automatically 分离多种类型的碎矿。
ObjectType.Charcoal = 木炭
ObjectType.Charcoal.Desc = 木炭作为燃料提供给更高级的工坊。
ObjectType.ChocolateMilk = 巧克力牛奶
ObjectType.ChocolateMilk.Desc = 美味的巧克力牛奶
ObjectType.Clay = 黏土
ObjectType.Clay.Desc = 黏土可加工成砖块，大多数建筑都用得到。
ObjectType.ClayQuarry = 黏土开采场
ObjectType.ClayQuarry.Desc = 黏土开采场 ##automatically 开采无限的黏土。
ObjectType.ClayVein = 黏土矿脉
ObjectType.ClayVein.Desc = 黏土可加工成砖块，大多数建筑都用得到。
ObjectType.CocoaBeans = 可可豆
ObjectType.CocoaBeans.Desc = 一袋可可豆。 可以用来制作巧克力牛奶。
ObjectType.Column = 圆形石柱
ObjectType.Column.Desc = 通过开采将其移除。
ObjectType.ConstructionBlock = 建筑框架
ObjectType.ConstructionBlock.Desc = 用于支撑高级建筑。
ObjectType.ConveyorBeltHigh = 传送带 (高)
ObjectType.ConveyorBeltHigh.Desc = 传送带可在领地内自动运输货物。
ObjectType.ConveyorBeltParts = 传送带零件
ObjectType.ConveyorBeltParts.Desc = 建设传送带的零件。
ObjectType.ConveyorBeltRampDown = 传送带 (斜坡)
ObjectType.ConveyorBeltRampDown.Desc = 传送带可在领地内自动运输货物。
ObjectType.ConveyorBeltRampUp = 传送带 (斜坡)
ObjectType.ConveyorBeltRampUp.Desc = 传送带可在领地内自动运输货物。
ObjectType.ConveyorBeltStraight = 传送带 (低)
ObjectType.ConveyorBeltStraight.Desc = 传送带可在领地内自动运输货物。
ObjectType.ConveyorDistributor = 传送分流器
ObjectType.ConveyorDistributor.Desc = 可以将货物平分到一个或多个的传送带。
ObjectType.ConveyorDistributorHigh = 传送分流器 (高)
ObjectType.ConveyorDistributorHigh.Desc = 可以将货物平分到一个或多个的传送带。
ObjectType.Copper = 铜矿
ObjectType.Copper.Desc = 铜矿
ObjectType.CopperBlock = 铜锭
ObjectType.CopperBlock.Desc = 一块铜锭
ObjectType.CorniTree = 松树
ObjectType.CorniTree.Desc = 砍伐树木可获取原木。
ObjectType.Cotton = 棉花工场
ObjectType.Cotton.Desc = 棉花可用于生产布匹。
ObjectType.Cow = 奶牛
ObjectType.Cow.Desc = 温顺的动物。
ObjectType.CrushedCopper = 碎铜
ObjectType.CrushedCopper.Desc = 精炼后得到铜锭。
ObjectType.CrushedCopperMix = 碎铜矿
ObjectType.CrushedCopperMix.Desc = 分离后可得到碎铜和石头。
ObjectType.CrushedIron = 碎铁
ObjectType.CrushedIron.Desc = 精炼后得到铁锭
ObjectType.CrushedIronMix = 碎铁矿
ObjectType.CrushedIronMix.Desc = 分离后可得到碎铁和石头。
ObjectType.CrushedRock = 碎石
ObjectType.CrushedRock.Desc = 用来生产混凝土。
ObjectType.CrystalCore = 晶核
ObjectType.CrystalCore.Desc = 晶核
ObjectType.Dark_Mountain = 暗黑山脉
ObjectType.Dark_Mountain.Desc = 暗黑山脉
ObjectType.DarkCrystal = 黑水晶
ObjectType.DarkCrystal.Desc = 来历不明的水晶
ObjectType.DarkGeode = 黑晶洞
ObjectType.DarkGeode.Desc = 可以用来开采不同的矿石。
ObjectType.DarkRock = 灰岩
ObjectType.DarkRock.Desc = 灰岩
ObjectType.DarkRuins = 古代遗迹
ObjectType.DarkRuins.Desc = 建造这座建筑的人早已不复存在。
ObjectType.DarkTemple = 古代神殿
ObjectType.DarkTemple.Desc = 建造这座建筑的人早已不复存在。
ObjectType.DecoBranches = 树枝
ObjectType.DecoBranches.Desc = 可以通过采集来移除。
ObjectType.DecoBush = 灌木装饰
ObjectType.DecoBush.Desc = 并不是特别振奋人心，但是很好看！
ObjectType.DecoDarkRock = 小岩石
ObjectType.DecoDarkRock.Desc = 可以通过开采来移除。
ObjectType.DecoFern = 蕨类植物
ObjectType.DecoFern.Desc = 可以通过采集来移除。
ObjectType.DecoRocks = 装饰岩石
ObjectType.DecoRocks.Desc = 可以通过开采来移除。
ObjectType.DecoSeaShells = 海贝
ObjectType.DecoSeaShells.Desc = 可以通过采集来移除。
ObjectType.DecoShrine = 神龛装饰
ObjectType.DecoShrine.Desc = 照亮周围，看起来不错！ 
ObjectType.DecoSwampBranches = 沼泽树枝
ObjectType.DecoSwampBranches.Desc = 可以通过采集来移除。
ObjectType.Depot5x5 = 仓库 5x5
ObjectType.Depot5x5.Desc = ##Automated ##depot 用于存放与分配货物。
ObjectType.DepotEntry = 仓库入口
ObjectType.DepotEntry.Desc = 将货物放在这里，它们就会存进 ##depot 。
ObjectType.DepotExit = 仓库出口
ObjectType.DepotExit.Desc = 从 ##depot 取出货物。
ObjectType.Desert_Mountain = 沙漠山脉
ObjectType.Desert_Mountain.Desc = 沙漠山脉
ObjectType.DesertBrokenGround = 没有生机的土地
ObjectType.DesertBrokenGround.Desc = 可通过开采将其清除
ObjectType.DesertBrokenGroundHigh = 没有生机的土地（高）
ObjectType.DesertBrokenGroundHigh.Desc = 可通过开采将其清除。
ObjectType.DesertPillars = 毁坏的柱子
ObjectType.DesertPillars.Desc = 可通过开采将其清除。
ObjectType.DesertRuins = 废墟
ObjectType.DesertRuins.Desc = 可通过开采将其清除。
ObjectType.DesertTorch = 火炬
ObjectType.DesertTorch.Desc = 一座古老的建筑物。
ObjectType.DesertTreeStump = 树桩
ObjectType.DesertTreeStump.Desc = 树桩
ObjectType.EnemyBonfire = 敌方营火
ObjectType.EnemyBonfire.Desc = 摧毁敌方营火，便可占领敌方 ##territory 。
ObjectType.Fabric = 布匹
ObjectType.Fabric.Desc = 由羊毛或棉制成的布，用于生产家具等。
ObjectType.Farm5x5 = 自动化农场
ObjectType.Farm5x5.Desc = 这个农场可 ##automatically 种植简单的农作物。
ObjectType.FilterInserter = 筛选接入器
ObjectType.FilterInserter.Desc = 使用筛选接入器接入 ##depot 或其他地方来运送货物。
ObjectType.Firefly = 萤火虫
ObjectType.Firefly.Desc = 晚上会发光
ObjectType.Floor_Dark_Oasis = 暗黑大陆
ObjectType.Floor_Dark_Oasis.Desc = 暗黑大陆
ObjectType.Floor_Desert_Coast = 沙漠海岸
ObjectType.Floor_Desert_Coast.Desc = 沙漠海岸
ObjectType.Floor_Desert_MountainBase = 沙漠沙地（山底）
ObjectType.Floor_Desert_MountainBase.Desc = 沙漠沙地（山底）
ObjectType.Floor_Desert_Oasis = 沙漠绿洲
ObjectType.Floor_Desert_Oasis.Desc = 沙漠绿洲
ObjectType.Floor_Desert_Oasis_Water = 沙漠绿洲（临水）
ObjectType.Floor_Desert_Oasis_Water.Desc = 沙漠绿洲（临水）
ObjectType.Floor_Desert_Ocean = 海洋
ObjectType.Floor_Desert_Ocean.Desc = 海洋
ObjectType.Floor_Desert_Rough = 焦土
ObjectType.Floor_Desert_Rough.Desc = 焦土
ObjectType.Floor_Desert_Sand = 沙漠沙地
ObjectType.Floor_Desert_Sand.Desc = 沙漠沙地
ObjectType.Floor_Desert_SandHigh = 沙漠沙地（高处）
ObjectType.Floor_Desert_SandHigh.Desc = 沙漠沙地（高处）
ObjectType.Floor_Desert_Water = 水边
ObjectType.Floor_Desert_Water.Desc = 水边
ObjectType.Floor_Earth = 草原（山）
ObjectType.Floor_Earth.Desc = 草原（山）
ObjectType.Floor_Grass = 草原
ObjectType.Floor_Grass.Desc = 草原
ObjectType.Floor_LightGrass = 旱草原
ObjectType.Floor_LightGrass.Desc = 旱草原
ObjectType.Floor_Sand = 沙滩
ObjectType.Floor_Sand.Desc = 沙滩
ObjectType.Floor_Stone = 岩石
