language = Spanish
locales = SP
fallback = Francais


# Spanish localization Salvoxea 
# Kubifaktorium.v11.7.2022


MainMenu.NewCampaign  = Nueva campaña
ObjectType.Harbour  =  Puerto de embarque
ObjectType.Harbour.Desc  =  El aroma de la playa te permite relajarte en medio de todo el ajetreo y el bullicio.
ObjectType.HarvestedBerries  =  Fresas
ObjectType.HarvestedBerries.Desc  =  Tan dulce y delicioso como un caramelo.
ObjectType.HarvestedFlowers  =  Flores silvestres
ObjectType.HarvestedFlowers.Desc  =  Una canasta llena de flores silvestres. Se pueden utilizar para hacer tés de hierbas.
ObjectType.HarvestedTomato  =  Tomates
ObjectType.HarvestedTomato.Desc  =  Estos tomates son tan rojos como rubíes.
ObjectType.HarvestedWheat  =  Trigo
ObjectType.HarvestedWheat.Desc  = Este cereal muy versátil se utiliza en una gran variedad de recetas.
ObjectType.Hippo  =  Hipopótamo
ObjectType.Hippo.Desc  =  Este poderoso mamífero semiacuático parece bastante sereno.
ObjectType.House  =  Cabaña
ObjectType.House.Desc  =   Vivienda rústica con techo de paja tradicional y paredes de piedra.
ObjectType.Inserter  =  Insertador
ObjectType.Inserter.Desc  =  Los insertadores mueven objetos entre cintas transportadoras, Almacenes y otros.
ObjectType.Iron  =  Mineral de hierro
ObjectType.Iron.Desc  =  Un Almacén de hierro en bruto. Su apariencia difiere ligeramente del hierro refinado, ya que aún no ha sido purificado.
ObjectType.IronBlock  =  Hierro
ObjectType.IronBlock.Desc  =  La superficie lisa de este Lingote de hierro puro es tan reflectante como un espejo.
ObjectType.IronHammer  =  Martillo de hierro
ObjectType.IronHammer.Desc  =  Los martillos se utilizan para producir artículos y construir edificios.
ObjectType.IronPickaxe  =  Pico de hierro
ObjectType.IronPickaxe.Desc  =  Los picos se utilizan para extraer rocas, árboles y montañas.
ObjectType.IronQuarry  =  Cantera de hierro
ObjectType.IronQuarry.Desc  =  ¡Nunca dejamos de cavar aquí!
ObjectType.IronShovel  =  Pala de hierro
ObjectType.IronShovel.Desc  =  Las palas se utilizan para trabajos agrícolas.
ObjectType.IronSword  =  espada de hierro
ObjectType.IronSword.Desc  =  La espada de hierro es un arma cuerpo a cuerpo básica que hace más daño que la espada de madera.
ObjectType.IronVein  =  Filón de mineral de hierro
ObjectType.IronVein.Desc  =  El tono y el brillo característicos de este filón revelan que debajo se encuentra un filón de hierro.
ObjectType.Kiln  =  Horno
ObjectType.Kiln.Desc  =  Nadie ha mojado jamás la arcilla para no cocerla después.
ObjectType.Log  =  Troncos de madera
ObjectType.Log.Desc  =  Qué vida llena de aconte_cimientos: una vez un árbol, hoy un tronco y mucho más en el futuro.
ObjectType.LootBox  =  Cofre
ObjectType.LootBox.Desc  =  Se puede recoger para obtener un artículo al azar.
ObjectType.MachineParts  =  Partes de máquina
ObjectType.MachineParts.Desc  =  Son los engranajes más pequeños los que hacen funcionar las grandes máquinas.
ObjectType.MegaSpider  =  Araña Reina
ObjectType.MegaSpider.Desc  =  La cruz roja en su espalda parece indicar un punto débil, o más bien que es venenoso...
ObjectType.MetalWorkshop  =  Taller metalúrgico
ObjectType.MetalWorkshop.Desc  =  El metal se ha utilizado durante muchos siglos y todavía tiene una gran demanda en la actualidad.
ObjectType.MinedClay  =  Arcilla
ObjectType.MinedClay.Desc  =  La arcilla se extrae de las montañas y se puede convertir en ladrillos para construir edificios.
ObjectType.MinedCopper  = Cobre
ObjectType.MinedCopper.Desc  =  Así es como se ve el cobre crudo justo después de ser extraído de su fuente.
ObjectType.MinedGold  =  Oro
ObjectType.MinedGold.Desc  =  ¿Puedes distinguir las pequeñas pepitas de oro brillantes en el interior?
ObjectType.MinedIron  =  Hierro
ObjectType.MinedIron.Desc  =  Esta roca contiene multitud de pequeñas estrellas.
ObjectType.MinedRock  =  Piedra
ObjectType.MinedRock.Desc  =  Las piedras se utilizan para construir edificios básicos y se pueden convertir en bloques de piedra.
ObjectType.MiningRobot  =  Robot minero
ObjectType.MiningRobot.Desc  =  Los robots solo pueden realizar las tareas para las que fueron diseñados.
ObjectType.Monolith  =  Monolito
ObjectType.Monolith.Desc  =  Estas enormes piedras prehistóricas aparentemente fueron utilizadas como monumentos.
ObjectType.MudRoad  =  Camino embarrado
ObjectType.MudRoad.Desc  =  No siempre es fácil caminar, especialmente después de la lluvia.
ObjectType.Mummy  =  Momia
ObjectType.Mummy.Desc  =  Detrás de este enfoque incierto, se esconde mucha hostilidad.
ObjectType.OilBarrel  =  Barril de petroleo
ObjectType.OilBarrel.Desc  =  ¡Un poco de combustible y la máquina arranca de nuevo!
ObjectType.OilPump  =  Bomba de aceite
ObjectType.OilPump.Desc  =  Bombea el preciado aceite y viértelo en barriles sin perder ni una gota.
ObjectType.OilWell  =  Pozo de petróleo
ObjectType.OilWell.Desc  =  Un precioso líquido negro brota de la tierra en este preciso lugar.
ObjectType.OreCrusher  =  Trituradora de mineral
ObjectType.OreCrusher.Desc  =  Pocos minerales pueden resistir su fuerza.
ObjectType.OutpostBonfire  =  Gran Hoguera
ObjectType.OutpostBonfire.Desc  =  Construye Hogueras para expandir tu territorio y definir nzonas.
ObjectType.OverheadConveyorCart  =  Carro colgante
ObjectType.OverheadConveyorCart.Desc  =  Parte del sistema de cinta transportadora
ObjectType.OverheadConveyorPath  =  Cinta transportadora aérea
ObjectType.OverheadConveyorPath.Desc  =  El sistema de cinta transportadora transporta mercancías sobre cintas transportadoras/rieles.
ObjectType.OverheadConveyorStation  =  Estacion de aire
ObjectType.OverheadConveyorStation.Desc  =  Conecte esta estación a otras estaciones para que el sistema transporte artículos hacia ellas.
ObjectType.PalmTree  =  Palmera datilera
ObjectType.PalmTree.Desc  =  Este árbol frutal da racimos de dátiles particularmente abundantes.
ObjectType.Pig  =  Cerdo
ObjectType.Pig.Desc  =  Tienen un excelente sentido del olfato que les permite alimentarse de alimentos silvestres.
ObjectType.PowerLine  =  Línea eléctrica
ObjectType.PowerLine.Desc  =  Use líneas eléctricas para conectar generadores a edificios que consumen energía.
ObjectType.PyramidRuin  =  Pirámide
ObjectType.PyramidRuin.Desc  =  Es bastante sorprendente cómo se pudieron apilar bloques de piedra tan pesados ​​hasta la cima.
ObjectType.Quarry  =  Cantera de piedra
ObjectType.Quarry.Desc  =  Estas piedras no son idénticas entre sí, si miras de cerca puedes ver que todas son únicas.
ObjectType.RailwayCrossing  =  Cruce de Ferrocarril.
ObjectType.RailwayCrossing.Desc  = Un simple paso a nivel. Puramente decorativa.
ObjectType.RallyFlag  =  Bandera de reunión
ObjectType.RallyFlag.Desc  =  Cualquier colono armado se reunirá cerca de esta bandera y atacará a los enemigos a la vista.
ObjectType.RecruitingFlag  =  Bandera de reclutamiento
ObjectType.RecruitingFlag.Desc  =  Esta bandera pertenece a un grupo de animales amistosos y colonos.
ObjectType.RefinedBuildingPart  =  Pieza de madera refinada
ObjectType.RefinedBuildingPart.Desc  =  Solo un experto puede apreciar la amplitud del trabajo realizado para crear esta pieza excepcional.
ObjectType.RobotWorkshop  =  Taller de robots
ObjectType.RobotWorkshop.Desc  =  El taller de robots te permite construir robots.
ObjectType.Rock  =  Roca
ObjectType.Rock.Desc  =  Esta gran piedra en bruto se puede esculpir y moldear como se desee.
ObjectType.Ruin  =  Ruina antigua
ObjectType.Ruin.Desc  =  Los restos de este edificio están tan cubiertos de maleza que es difícil ver qué era.
ObjectType.RuinBakery  =  panadería abandonada
ObjectType.RuinBakery.Desc  =  Una colonia abandonada hace mucho tiempo.
ObjectType.RuinBasicWorkplace  =  Taller abandonado
ObjectType.RuinBasicWorkplace.Desc  =  Una colonia abandonada hace mucho tiempo.
ObjectType.RuinFragment  =  Pedazos de ruina
ObjectType.RuinFragment.Desc  =  Viejas piedras cubiertas de musgo.
ObjectType.RuinHouse  =  Casa abandonada
ObjectType.RuinHouse.Desc  =  Una colonia abandonada, abandonada hace mucho tiempo.
ObjectType.RuinWell  =  Pozo abandonado
ObjectType.RuinWell.Desc  =  Una colonia abandonada, abandonada hace mucho tiempo.
ObjectType.SandGeode  =  Geoda del desierto
ObjectType.SandGeode.Desc  =  El brillo que emana de esta antigua amalgama es bastante cautivador.
ObjectType.SandRock  =  Pila de rocas
ObjectType.SandRock.Desc  =  A pesar de su textura granulosa, estas rocas se pueden utilizar como rocas normales.
ObjectType.SandRoughGeode  =  Geoda del desierto sin pulir
ObjectType.SandRoughGeode.Desc  =  Es fácil perderse mirando la miríada de cristales encerrados en esta geoda.
ObjectType.Sawmill  =  Aserradero
ObjectType.Sawmill.Desc  =  Apenas puedes ver lo que sucede en medio de todo ese remolino de polvo de madera.
ObjectType.Scarab  =  Escarabajo azul
ObjectType.Scarab.Desc  =  Los egipcios asocian el escarabajo con el dios del sol que lleva el sol mientras hace rodar el estiércol.
ObjectType.Scorpion  =  Escorpión
ObjectType.Scorpion.Desc  =  Pequeño pero terriblemente agresivo.
ObjectType.SettlerFemale  =  Colonizadora
ObjectType.SettlerFemale.Desc  =  Persona valiente siempre dispuesta a asumir nuevos retos.
ObjectType.SettlerMale  =  Colonizador
ObjectType.SettlerMale.Desc  =  Un sujeto aventurero, con ganas de explorar territorios desconocidos.
ObjectType.Sheep  =  Oveja
ObjectType.Sheep.Desc  =  Dulce como una nube, no se cansa de comer vegetación.
ObjectType.Slime  =  Mini limo
ObjectType.Slime.Desc  = Lindamente pegajoso, ¡tiene un corazón muy suave!
ObjectType.SlimeBig  =  Mega limo
ObjectType.SlimeBig.Desc  =  No hay más pegajoso, seguro que se va a dar una ducha después de este apretón de manos.
ObjectType.SlimeMini  =  Limo
ObjectType.SlimeMini.Desc  =  Un enemigo torpe, a la vez divertido y formidable.
ObjectType.SlimePool  =  Charco viscoso
ObjectType.SlimePool.Desc  =  Parece que a la familia Slime le encanta pasar el rato aquí.
ObjectType.Smelter  =  Fundición
ObjectType.Smelter.Desc  =  Calienta minerales a temperaturas muy altas para extraer metales puros.
ObjectType.Snake  =  Serpiente
ObjectType.Snake.Desc  =  Venenoso para los humanos, se defiende liberando una sustancia muy maloliente.
ObjectType.Soil  =  Montaña exuberante
ObjectType.Soil.Desc  =  Curiosamente, las plantas parecen crecer maravillosamente en esta montaña.
ObjectType.Spider  =  Araña
ObjectType.Spider.Desc  =  Ella no necesita internet, ella teje su propia red.
ObjectType.StatueSettler  =  Estatua del colono
ObjectType.StatueSettler.Desc  =  Una estatua de Lef Salvox_ea el Grande , en honor a su sacrificio por el bien común.
ObjectType.StatueTrain  =  Estatua del tren
ObjectType.StatueTrain.Desc  =  ¡Tanto una obra de arte como un recordatorio de la utilidad de los trenes para la colonia!
ObjectType.StoneBlock  =  Bloque de piedra
ObjectType.StoneBlock.Desc  =  Una roca de textura rugosa con bordes bien definidos.
ObjectType.StoneRoad  =  camino de piedra
ObjectType.StoneRoad.Desc  =  Aunque incompleto, este camino pavimentado hace que el tráfico sea mucho más agradable.
ObjectType.StoneVein  =  vena de piedra
ObjectType.StoneVein.Desc  =  Quien sea capaz de reconocer un filón de piedra nunca se quedará sin piedras.
ObjectType.StrawberryDonut  =  rosquilla de fresa
ObjectType.StrawberryDonut.Desc  =  Malsano pero irresistible.
ObjectType.Table  =  Mesa
ObjectType.Table.Desc  =  Qué gran lugar para pasar tiempo juntos charlando del mundo.
ObjectType.Tea  =  Té
ObjectType.Tea.Desc  =  Qué podría ser mejor que una reconfortante taza de té.
ObjectType.Tomato  =  Tomate
ObjectType.Tomato.Desc  =  ¿Has notado ese agradable olor aromático al cepillar las hojas?
ObjectType.Torch  =  Antorcha
ObjectType.Torch.Desc  =  Las antorchas son una fuente de luz económica.
ObjectType.TrackParts  =  Vía de tren
ObjectType.TrackParts.Desc  =  Los segmentos de vía se utilizan para construir vías férreas.
ObjectType.TracksSemaphore  =  Señal de tren
ObjectType.TracksSemaphore.Desc  =  Use señales de tren para permitir que varios trenes compartan el mismo diseño.
ObjectType.TracksSemaphorePre  =  Pre-señal de tren
ObjectType.TracksSemaphorePre.Desc  =  Utilice estas señales previas para evitar que sus trenes bloqueen las intersecciones.
ObjectType.TrainFactory  =  Fábrica de trenes
ObjectType.TrainFactory.Desc  =  Un tren solo se puede construir con mucho trabajo duro.
ObjectType.TrainingDummy  =  Muñeco de entrenamiento
ObjectType.TrainingDummy.Desc  =  Utilizado por los colonos para el entrenamiento de combate.
ObjectType.TrainLocomotive  =  Locomotora
ObjectType.TrainLocomotive.Desc  =  Dondequiera que va, deja tras de sí una estela de humo y algunos trozos de carbón.
ObjectType.TrainStation  =  Estación
ObjectType.TrainStation.Desc  =  Las estaciones de tren tienden a ser lugares concurridos y ruidosos, pero a algunos les gusta.
ObjectType.TransportRobot  = Robot de transporte
ObjectType.TransportRobot.Desc  =  Los Robots solo pueden hacer el trabajo para el que fueron diseñados.
ObjectType.Treadmill  =  Cinta Transportadora
ObjectType.Treadmill.Desc  =  ¡Ir más rápido!
ObjectType.CactusPot  =  Cactus
ObjectType.CactusPot.Desc  =  Los cactus retienen el agua de manera eficiente dado el duro clima en el que viven.
ObjectType.Sunflower  =  Girasol
ObjectType.Sunflower.Desc  =  Una magnifica flor que gira mirando al Sol 
ObjectType.Tree  =  Roble
ObjectType.Lavender = Lavanda
ObjectType.Lavender.Desc = Un grupo de lavanda que crece salvaje
ObjectType.Tree.Desc  =  El roble es un símbolo de fuerza. Algunos especímenes también pueden vivir durante mucho tiempo
ObjectType.Turtle  =  Tortuga
ObjectType.Turtle.Desc  =  Tomarnos nuestro tiempo es una sabia lección aprendida al observar a este animal
ObjectType.UpgradeWorkshop  =  Taller de mejora
ObjectType.UpgradeWorkshop.Desc  =  Permite a los colonos combinar herramientas y armas para crear objetos superiores
ObjectType.WaterBucket  =  Cubo
ObjectType.WaterBucket.Desc  =  No hay nada mejor que el agua. ¡Hidratar!
ObjectType.WaterSprinkler  =  Aspersor (agua)
ObjectType.WaterSprinkler.Desc  =  ¡Cualquiera que se acerque demasiado terminará mojado!
ObjectType.Weed  =  Maleza
ObjectType.Weed.Desc  =  ¡Si miras de cerca, puedes ver un trébol de cuatro hojas!
ObjectType.Well  =  Pozo
ObjectType.Well.Desc  =  Nada es más delicado o más flexible que el agua y, sin embargo, nada puede resistirlo
ObjectType.Wheat  =  Trigo
ObjectType.Wheat.Desc  =  Este cultivo de cereal dorado es originario de la región del Creciente Fértil
ObjectType.WildBushel  =  Arbusto salvaje
ObjectType.WildBushel.Desc  =  ¡Si miras de cerca, puedes ver un trébol de cuatro hojas!
ObjectType.WoodenBoard  =  Tabla de madera
ObjectType.WoodenBoard.Desc  =  Simple pero versátil que además tiene lindos detalles debido a su origen natural.
ObjectType.WoodenBuildingPart  =  Pieza de madera
ObjectType.WoodenBuildingPart.Desc  =  Uno puede detectar un ligero olor a bosque que emana de los edificios construidos con estos materiales
ObjectType.WoodenHandle  =  Mango de madera
ObjectType.WoodenHandle.Desc  =  Los mangos se utilizan para fabricar herramientas. Agárrate fuerte para no perderlo
ObjectType.WoodHammer  =  Martillo de piedra
ObjectType.WoodHammer.Desc  =  Los martillos se utilizan para producir bienes y construir edificios
ObjectType.WoodPickaxe  =  Pico de piedra
ObjectType.WoodPickaxe.Desc  =  Los picos se utilizan para extraer rocas, árboles y montañas
ObjectType.WoodShovel  =  Pala de piedra
ObjectType.WoodShovel.Desc  =  Las palas se utilizan para trabajos agrícolas.
ObjectType.WoodSword  =  Espada de madera
ObjectType.WoodSword.Desc  =  La espada de madera es un arma cuerpo a cuerpo rudimentaria que hace más daño que usar las manos desnudas
ObjectType.Worm  =  Lombriz
ObjectType.Worm.Desc  =  Aunque son casi invisibles, estos bichos son esenciales para mantener la fertilidad del suelo
ObjectType.ZeppelinDepotStation  =  Almacén de zepelín
ObjectType.ZeppelinDepotStation.Desc  =  Los zepelines utilizan las estaciones y los Almacenes para cargar y descargar mercancías
ObjectType.ZeppelinFactory  = Fábrica de zepelines
ObjectType.ZeppelinFactory.Desc  =  La construcción de un zepelín requiere una artesanía delicada. Puede acomodar 3 zepelines
ObjectType.ZeppelinUnit  =  Zepelín
ObjectType.ZeppelinUnit.Desc  =  Dirigible rígido que se basa en una ligera sobrepresión para mantener su forma
ObjectType.Zombie  =  Zombi
ObjectType.Zombie.Desc  =  Un no-muerto de aspecto bastante amenazador
Quality.Level0  =  Pobre
Quality.Level0.Desc  =  Artículos de mala calidad
Quality.Level1  =  Normal
Quality.Level1.Desc  =  Artículos de buena calidad
Quality.Level2  =  Bien
Quality.Level2.Desc  =  Artículos de buena calidad
Quality.Level3  =  Excelente
Quality.Level3.Desc  =  Artículos de excelente calidad
Quality.Level4  =  Legendario
Quality.Level4.Desc  =  Artículos de calidad legendaria
Robot.Mode  =  Modo robot
Robot.Mode.Desc  =  Los robots pueden operar en múltiples modos. El modo influye en su velocidad de movimiento, así como en su consumo de combustible
Robot.Mode.ECO  =  Modo ecologico
Robot.Mode.NORMAL  =  Modo normal
Robot.Mode.OFF  =  Desactivado
Robot.Mode.OVERCLOCKED  =  Overclockeado
Scenario.FreeDesert  =  Parte libre: Desierto
Scenario.FreeGrassland  =  Parte libre: Prado
Scenario.MockupTier1  =  Prototipo de la misión 1
Scenario.MockupTier1.Desc  =  Se está mejorando un prototipo típico de experiencia de juego
Scenario.MockupTier12  =  Prototipo de la misión 12
Scenario.MockupTier12.Desc  =  Se está mejorando un prototipo típico de experiencia de juego
Scenario.MockupTier2  =  Prototipo de la misión 2
Scenario.MockupTier2.Desc  =  Se está mejorando un prototipo típico de experiencia de juego
Scenario.MockupTier23  =  Prototipo de la misión 23
Scenario.MockupTier23.Desc  =  Se está mejorando un prototipo típico de experiencia de juego
Scenario.MockupTier3  =  Prototipo de la misión 3
Scenario.MockupTier3.Desc  =  Se está mejorando un prototipo típico de experiencia de juego
Scenario.TestMap  =  Pequeña tarjeta de prueba
Scenario.TestMap.Desc  =  Con fines de prueba
Scenario.TutorialAdvancedProduction  =  producción avanzada
Scenario.TutorialAdvancedProduction.Desc  = Configure bancos de trabajo para producir artículos y administrar áreas de Almace_namiento 
Scenario.TutorialAutomatedTrains  =  Tren II
Scenario.TutorialAutomatedTrains.Desc  =  Conecte los edificios de producción automatizados al sistema logístico
Scenario.TutorialBasics  =  Colonia Rudimentaria
Scenario.TutorialBasics.Desc  =  Practique la producción base y la gestión de colonos.
Scenario.TutorialCombat  =  Sistema de batalla
Scenario.TutorialCombat.Desc  =  Atacar y aniquilar campamentos enemigos.
Scenario.TutorialConveyorBelts  =  Cintas Transportadora
Scenario.TutorialConveyorBelts.Desc  =  Vea configuraciones comunes de cintas Transportadora en acción
Scenario.TutorialLogistics  =  Sistema logístico
Scenario.TutorialLogistics.Desc  =  Establecer un puesto de avanzada y una línea de transporte Zeppelin
Scenario.TutorialOreCrushing  =  Procesamiento de minerales
Scenario.TutorialOreCrushing.Desc  =  Este ejemplo muestra cómo configurar el procesamiento de mineral automatizado
Scenario.TutorialTrainCrossing  =  Cruce de tren
Scenario.TutorialTrainCrossing.Desc  =  Cruce de tren permite que varios trenes eviten el mismo recorrido
Scenario.TutorialTrainPreSignals  =  Señales de tren
Scenario.TutorialTrainPreSignals.Desc  =  Aprenda a usar señales previas para evitar que los trenes bloqueen los cruces
Scenario.TutorialTrains  =  Trenes
Scenario.TutorialTrains.Desc  =  Conecte dos estaciones de tren a través del sistema de logística
Scenario.TutorialTrainSignalsCircle  =  Red de trenes
Scenario.TutorialTrainSignalsCircle.Desc  =  Aprenda a usar las señales para operar varios trenes en un solo diseño circular.
SetAdvancedInputStockpile.Desc  =  2.) Asignar áreas de Almace_namiento  entrantes.
SetAdvancedInputStockpile.Intro  =  No queremos que Berta se escape en busca de recursos lejanos. Asigne áreas de Almace_namiento  de entrada al taller para evitar esto.
SetAdvancedInputStockpile.Outro  =  Sugerencia: una vez que se asigna un área de Almace_namiento  de entrada a un banco de trabajo, solo se utilizarán los recursos de las áreas de Almace_namiento  de entrada asignadas. Los talleres pueden tener asignadas múltiples áreas de Almace_namiento  de entrada y salida.
SetBertaColor.Desc  = 2.) Asigne el área amarilla a Berta.
SetBertaColor.Intro  =  Los colonos pueden ser asignados a una o más áreas. Solo trabajarán en las áreas donde se les asigne. En este caso, queremos que Berta trabaje solo en el área amarilla que acabamos de crear.
SetBertaWorkshop.Desc  =  1.) Asigne a Berta al taller.
SetBertaWorkshop.Intro  =  Los colonos adquieren experiencia en lo que hacen. ¡La especialización es la clave! En este tutorial, Ansgar se encargará del transporte mientras que Berta utilizará el taller.
SetFighters.Desc  =  1.) Convierte a tus colonos en luchadores.
SetFighters.Intro  =  La mayoría de los mapas están ocupados por campamentos enemigos contra los que debes luchar para crecer. Asigna a tus colonos para que se conviertan en luchadores.
SetFighters.Outro  =  Consejo: una vez asignados, tus luchadores equipan automáticamente las mejores armas disponibles.
SetOutpostColor.Desc  =  1.) Cree una zona separada.
SetOutpostColor.Intro  =  Este tutorial trata sobre cómo configurar un puesto de avanzada y un sistema de logística. Empecemos por separar nuestro territorio en dos zonas bien diferenciadas. Para hacer esto, seleccione la Hoguera de avanzada (1) en el norte y establezca su color en amarillo.
SetOutpostColorTrain.Desc  =  1.) Cree una zona separada.
SetOutpostColorTrain.Intro  =  La primera parte de este tutorial es idéntica al tutorial de logística. Asigne la Hoguera al puesto avanzado (1) al norte y Berta al área de color amarillo.
SetOutputGoods.Desc  =  6.) Ajuste las áreas de Almace_namiento  de salida.
SetOutputGoods.Intro  =  Para tener un mayor control sobre cuánto produce el taller, podemos cambiar las mercancías aceptadas de las diferentes áreas de Almace_namiento  de salida.
SetOutputGoods.Outro  =  Sugerencia: puede controlar la cantidad de elementos que produce un banco de trabajo ajustando el tamaño del área de Almace_namiento  de salida correspondiente.
SetOutputStockpiles.Desc  =  5.) Configurar áreas de Almace_namiento  de salida.
SetOutputStockpiles.Intro  =  Asigne áreas de Almace_namiento  de salida a nuestro taller para comenzar la producción.
SetRecipes.Desc  =  4.) Configurar la producción.
SetRecipes.Intro  =  Usaremos nuestro taller para producir tablones de madera, bloques de piedra. Ajustar la producción en consecuencia.
Settings.AA  =  AA
Settings.AA.Desc  =  Suavizado: reduce el efecto irregular alrededor de los bordes.
Settings.Ambience  =  Ambiente
Settings.Ambience.Desc  =  Volumen de efectos ambientales.
Settings.AO  =  O. A.
Settings.AO.Desc  =  Oclusión ambiental: aproximación de la iluminación y las sombras ambientales.
Settings.Autosave  =  Autoguardado
Settings.Autosave.Desc  =  Guarda automáticamente después de un período de tiempo establecido.
Settings.Bevel  =  Bisel y bordes
Settings.Bevel.Desc  =  Agregue un efecto de bisel y un contorno a los objetos.
Settings.Bloom  =  Desenfoque
Settings.Bloom.Desc  =  Habilite el desenfoque de luz alrededor de las áreas sobreexpuestas.
Settings.Brightness  =  Brillo
Settings.Brightness.Desc  =  Brillo
Settings.Category.Audio  =  Audio
Settings.Category.Gameplay  =  Como se Juega
Settings.Category.Graphics  =  Gráficos
Settings.Category.Other  =  Otro
Settings.Clouds  =  Nubes
Settings.Clouds.Desc  = Las nubes se mueven a través de las regiones.
Settings.Debug  =  Modo Depuración
Settings.Debug.Desc  =  El modo depuración le permite generar objetos libremente (F8) y eliminar objetos (alt-eliminar área) y revelar el mapa (F7).
Settings.DOF.Desc  =  Reduzca la extensión del plano focal al hacer zoom.
Settings.ExportIcons  =  Exportar iconos
Settings.ExportIcons.Desc  =  Exporte iconos de objetos al inicio (normalmente no es necesario).
Settings.Fog  =  Niebla y neblina
Settings.Fog.Desc  =  Mostrar efectos de niebla y neblina.
Settings.FPS  =  Mostrar fps
Settings.FPS.Desc  =  Visualización FPS actuales por segundo.
Settings.Hints  =  Alerta inactivos
Settings.Hints.Desc  =  Mostrar pistas cuando el juego detecta eventos como edificios de producción inactivos.
Settings.Hit  =  Animación
Settings.Hit.Desc  =  Los edificios y los recursos reaccionan con una animación cuando los usan tus colonos.
Settings.Language  =  Idioma
Settings.Language.Desc  =  (El idioma solo se puede cambiar en el menú principal).
Settings.LeadingCamera  =  Cámara principal
Settings.LeadingCamera.Desc  =  Al seguir a un colono, la cámara dirigirá su movimiento.
Settings.Lights  =  Luces
Settings.Lights.Desc  =  Mostrar luces en la escena (requiere recargar el mapa).
Settings.Music  =  Música
Settings.Music.Desc  =  Vol. de la música
Settings.Recommendations  =  Recomendaciones
Settings.Recommendations.Desc  =  Mostrar recomendaciones en la esquina superior izquierda.
Settings.RightDrag  =  Mueve la cámara
Settings.RightDrag.Desc  =  Mueva la cámara mientras mantiene presionado el botón derecho del mouse.
Settings.RotateSpeed  =  Vel. rotación
Settings.RotateSpeed.Desc  =  Velocidad de rotación. Afecta la rotación de la cámara con Q/E/Pg.Down/Pg.Up.
Settings.Scroll  =  Desplazamiento de borde
Settings.Scroll.Desc  =  Desplácese cuando el mouse toque el borde de la pantalla.
Settings.ScrollSpeed  =  Vel. desplazamiento
Settings.ScrollSpeed.Desc  =  Afecta el desplazamiento de la pantalla y el desplazamiento por WASD.
Settings.Shadows  =  Oscuridad
Settings.Shadows.Desc  =  Calidad de las sombras. Mejoran la estética del juego, pueden reducir fps
Settings.ShowMarkers  =  Mostrar marcadores
Settings.ShowMarkers.Desc  =  Mostrar marcadores para trabajos de carga y pago.
Settings.Sound  =  Sonido
Settings.Sound.Desc  =  Volumen de efectos de sonido.
Settings.SSScale  =  Captura de pantalla 
Settings.SSScale.Desc  =  Factor de ampliación de la captura de pantalla.
Settings.Surveys  =  Encuestas
Settings.Surveys.Desc  =  Mostrar encuestas en el menú principal.
Settings.Tooltips  =  Información sobre herramientas
Settings.Tooltips.Desc  =  Mostrar información sobre herramientas al pasar con el cursor. Cuando está deshabilitado, aún puede ver información sobre herramientas cuando mantiene presionada la tecla Mayús mientras mueve el mouse.
Settings.UIScale  =  Interfaz
Settings.UIScale.Desc  =  Expanda o contraiga la interfaz de usuario.
Settings.Weather  =  Efectos del clima
Settings.Weather.Desc  =  Efectos meteorológicos visuales como lluvia o nieve.
Settings.HighResTextureAtlas = High-res atlas
Settings.HighResTextureAtlas.Desc = Activa esta opción para resolucion alta texturas.
StockpileZoneCC  =  Almacén
StockpileZoneCC.Desc  =  Un área de Almace_namiento  puede contener productos de talleres, Cultivos o trabajos de extracción.
Task.Attack.Text  =  Ataque $1
Task.Clean.Text  =  Limpia $1
Task.CombatTrain.Text  =  Trenes
Task.Construct.Text  =  Construir $1
Task.ConstructClear.Text  =  Borrar $1
Task.Deconstruct.Text  =  Deconstruir $1
Task.Drink.Text  = Beber $1
Task.Eat.Text  =  Comer $1
Task.Equip.Text  =  Equipo $1
Task.FarmClear.Text  =  Despejar $1
Task.GroveClear.Text  =  Limpiar $1
Task.HarvestCrop.Text  =  Cosechar $1
Task.HarvestTree.Text  =  Taza $1
Task.Idle.Text  =  Inactivo
Task.Load.Text  =  Cargar $1
Task.LogisticsSystem.Text  =  Mover $1
Task.Mine.Text  =  Extraer $1
Task.MoveIntoHouse.Text  =  Transportes a $1
Task.PlantCrop.Text  =  Plantar $1
Task.PlantTree.Text  =  Plantar $1
Task.Power.Text  =  Alimentar $1
Task.Produce.Text  =  Producir $1 en $2
Task.Rally.Text  =  Se mueve hacia la bandera de reunión.
Task.Sleep.Text  =  Dormir
Task.Socialize.Text  =  Social $1
Task.Stockpile.Text  =  Transporte $1 al área de Almace_namiento 
Task.Till.Text  =  Arar la tierra
Task.Unequip.Text  =  Desequipar
Task.Unload.Text  =  Descargar $1
Task.Wander.Text  =  Pasear
Task.Water.Text  =  Regar
TaskGroup._Name  =  Asignación de oficios
TaskGroup.Agriculture  =  Trabajo agrícola
TaskGroup.Agriculture.Desc  =  Los trabajadores agrícolas labran la tierra, plantan y cosechan cultivos y árboles en Cultivos y grovezones.
TaskGroup.Combat  =  Luchar
TaskGroup.Combat.Desc  =  Los luchadores defienden a sus compañeros colonos y luchan contra los enemigos.
TaskGroup.Construction  =  Construcción
